NOUN,Word,Count,IDs
NOUN,ability,6,"355,726,2000,2090,2307,2379"
NOUN,abode,2,"1587,2680"
NOUN,absence,2,"1761,2720"
NOUN,abundance,2,"2144,2425"
NOUN,accent,23,"3,117,362,423,463,555,654,667,959,975,1082,1457,1479,1506,1672,1792,2065,2097,2174,2250,2499,2705,2831"
NOUN,access,4,"1041,1248,1272,2964"
NOUN,accessory,38,"109,285,431,664,678,705,707,725,833,910,971,1016,1169,1326,1381,1479,1484,1592,1626,1629,1860,1865,1881,2105,2112,2194,2240,2317,2609,2620,2669,2672,2705,2714,2750,2831,2935"
NOUN,accident,1,1498
NOUN,accompaniment,1,1086
NOUN,acoustic,1,2597
NOUN,acrylic,1,2526
NOUN,act,2,"995,2381"
NOUN,activity,6,"293,1467,1704,1932,2577"
NOUN,actress,1,801
NOUN,adaptability,1,293
NOUN,adaption,1,988
NOUN,addition,24,"201,485,899,970,1114,1302,1304,1318,1539,1572,1766,1824,1851,2121,2218,2345,2349,2371,2377,2692,2769,2778,2894,2939"
NOUN,adjustment,1,851
NOUN,adorable,2,"1957,2777"
NOUN,adult,3,"326,1673,2292"
NOUN,advantage,4,"1849,2235,2445,2951"
NOUN,advice,1,2850
NOUN,aesthetic,39,"358,370,471,511,513,586,635,656,661,706,725,870,945,987,1008,1268,1499,1544,1616,1637,1678,1772,1816,1927,1966,2143,2250,2251,2308,2329,2459,2468,2498,2560,2619,2663,2771,2773,2775"
NOUN,affair,1,75
NOUN,affinity,1,2771
NOUN,afternoon,5,"1230,1871,2280,2298,2533"
NOUN,age,1,2551
NOUN,agenda,1,840
NOUN,aid,3,"346,1157,2367"
NOUN,aim,2,"2201,2363"
NOUN,air,13,"101,149,189,557,1425,1562,1580,1963,2020,2415,2651,2843"
NOUN,airer,1,1936
NOUN,airy,18,"8,15,60,277,321,487,684,918,1131,1451,1476,1582,1616,2071,2075,2239,2490,2902"
NOUN,aisle,1,75
NOUN,alcove,21,"210,1036,1039,1040,1044,1125,1144,1321,1655,1656,1657,1660,1662,1663,1664,1748,2658,2842"
NOUN,alfresco,3,"1317,2323,2384"
NOUN,align,3,"542,1265,1524"
